p,r,G4,d,d_factors,pure_iii,obstruction,blocking_q,blocking_class
1401977,1640313091,209,0,,False,order_excess,0,
1403453,2806907,57,0,,False,order_excess,0,
1411049,172147979,57,0,,False,order_excess,0,
1413029,2826059,3819,0,,False,order_excess,0,
1415207,76421179,121,0,,False,order_excess,0,
1424531,225075899,57,0,,False,order_excess,0,
1431461,758674331,171,0,,False,order_excess,0,
1431569,174651419,57,0,,False,order_excess,0,
1432019,20048267,57,0,,False,order_excess,0,
1432181,2864363,57,0,,False,order_excess,0,
1434217,4661205251,25091,0,,False,order_excess,0,
1439027,9195382531,211,0,,False,order_excess,0,
1440587,17618379011,81,0,,False,order_excess,0,
1442621,2322619811,171,0,,False,order_excess,0,
1443653,176125667,249,0,,False,order_excess,0,
1446617,26039107,331,0,,False,order_excess,0,
1449683,403565652907,59,0,,False,order_excess,0,
1452413,351483947,243,0,,False,order_excess,0,
1452413,1734181123,163,0,,False,order_excess,0,
1455491,125172227,57,0,,False,order_excess,0,
1456121,2912243,57,0,,False,order_excess,0,
1465081,1643820883,107,0,,False,order_excess,0,
1470797,979836136619,10923,0,,False,order_excess,0,
1471031,732735251411,129,0,,False,order_excess,0,
1473221,2946443,57,0,,False,order_excess,0,
1474589,2949179,57,0,,False,order_excess,0,
1475237,38356163,99,0,,False,order_excess,0,
1480673,74033651,57,0,,False,order_excess,0,
1482959,6213598211,129,0,,False,order_excess,0,
1484849,2969699,57,0,,False,order_excess,0,
1493741,2987483,57,0,,False,order_excess,0,
1493867,1455026459,57,0,,False,order_excess,0,
1494947,2520480643,209,0,,False,order_excess,0,
1498097,965592428963,57,0,,False,order_excess,0,
1500113,3315249731,57,0,,False,order_excess,0,
1501949,3003899,57,0,,False,order_excess,0,
1503353,39087179,171,0,,False,order_excess,0,
1508789,3017579,57,0,,False,order_excess,0,
1519733,3039467,57,0,,False,order_excess,0,
1522187,9133123,25091,0,,False,order_excess,0,
1530713,3061427,129,0,,False,order_excess,0,
1535123,353078291,57,0,,False,order_excess,0,
1536251,2958819427,67,0,,False,order_excess,0,
1537517,811664449403,129,0,,False,order_excess,0,
1540499,2091997643,129,0,,False,order_excess,0,
1550827,9304963,83,0,,False,order_excess,0,
1552531,34155683,107,0,,False,order_excess,0,
1556669,3113339,57,0,,False,order_excess,0,
1559609,3119219,129,0,,False,order_excess,0,
1561727,3245268707,99,0,,False,order_excess,0,
1565251,109567571,107,0,,False,order_excess,0,
1565561,3131123,57,0,,False,order_excess,0,
1565741,3131483,177,0,,False,order_excess,0,
1566263,51583305643,59,0,,False,order_excess,0,
1568207,367546947419,57,0,,False,order_excess,0,
1577027,9850110643,209,0,,False,order_excess,0,
1577189,3154379,57,0,,False,order_excess,0,
1584047,212262299,171,0,,False,order_excess,0,
